HK/   AAT og VLT:
Raw weights
                                                                                
8182 data points:
0001-5169  (5169 data points)   AAT/UCLES i Australien
5179-8182  (3013 data points)   VLT/UVES (ESO) i Chile
                                                                                
    Time (sec)    Data(m/s)    sigma(m/s)
-------------------------------------------
      247825.      1.89173      1.75067
      247845.     -2.47178      2.35647
      247865.     -3.10884      2.83567
      247908.     -5.92496      3.69610
      247973.     -4.97895      3.31660
      247999.     0.440710      2.21920
      248028.    -0.802670      3.10559
      248056.      1.71894      2.00747
      248083.      5.76240      2.58671
      248107.      6.11362      2.14083
      248130.     -2.99676      2.13747
      248153.      3.39484      2.27808
      248177.      2.18474      2.02636
      248200.      3.53762      1.56881
      248223.      4.99570      1.45846
      248246.      2.28983      1.55942
      248315.      10.3019      5.33031
      248336.     0.953750      1.49807
      248356.      2.32874      1.32077
      248396.      3.60530      1.51384
      248414.      4.67834      1.60446
      248433.     -2.60342      1.96678
      248451.     -2.40374      2.48589
      248470.      1.57387      2.02949
      248491.      2.21824      2.21037
      248513.     -1.70188      2.11369
      248534.    -0.469380      2.19699
      248553.    -0.988670      2.05496
      248571.     -3.14571      2.12271
      248587.     -1.28348      2.79317
      248607.     -1.38008      1.62889
      248623.     0.632170      1.78224
      248643.      3.02097      1.83889
      248661.     0.726360      1.76169
      248678.     -1.37938      1.81552
      248695.    0.0734900      1.94410
      248714.     -2.09298      1.75750
      248732.     -4.50402      2.14070
      248750.    0.0147800      2.56585
      248768.     0.378860      1.79861
      248787.     -1.09180      1.84892
      248805.      2.14909      1.80291
      248823.      3.83812      1.83621
      248840.      2.20653      1.88489
      248858.     -2.45391      2.37008
      248875.     0.325900      1.51611
      248893.    -0.167450      1.66482
      248910.    -0.416160      1.62564
      248929.     0.951070      1.75474
      248947.    -0.141180      1.78623
      248964.      1.09713      1.81365
      248982.      1.24333      1.68214
      249003.     -3.08256      1.66559
      249022.     -3.60705      1.90518
      249041.    -0.552560      1.64264
      249059.     0.630690      1.75991
      249078.     0.461620      1.69414
      249095.     0.238980      1.69384
      249113.      1.87287      1.95321
      249131.    -0.754340      1.50079
      249149.    -0.117530      1.71661
      249167.     -3.56530      2.31404
      249185.   -0.0354500      1.62755
      249204.     -2.96048      1.70228
      249223.     -5.87618      2.60933
      249240.     -1.77832      1.74799
      249258.      2.87907      1.71351
      249275.      1.03460      1.69887
      249296.      1.53981      1.61055
      249314.     -3.00567      1.97196
      249332.     -1.23208      1.67340
      249349.     0.674420      2.09346
      249370.      3.14291      1.73753
      249392.      1.48279      1.76116
      249409.    -0.325020      1.98075
      249427.     0.701580      1.69159
      249445.   -0.0934600      1.73498
      249464.    -0.315040      1.98352
      249483.      1.43324      1.98821
      249503.    -0.600960      1.74761
      249521.      1.52277      2.08769
      249538.      1.11835      2.01552
      249556.     -1.88400      2.27505
      249574.     -1.29154      1.72686
      249591.    0.0514200      1.47727
      249609.      1.40021      1.92799
      249627.     -3.79996      1.84404
      249645.     -1.06609      1.98106
      249663.     -1.08336      1.73409
      249681.     -2.90813      2.27322
      249698.     -1.22633      1.75672
      249720.    -0.691210      1.74661
      249738.     -3.39302      1.73346
      249755.    -0.135160      1.66934
      249774.   0.00322000      1.55264
      249793.     -1.34806      1.90244
      249813.      3.30471      1.89159
      249831.     -3.58618      1.94555
      249849.      1.63983      1.98956
      249868.    -0.217190      1.97553
      249885.    -0.460040      1.79211
      249903.      1.29645      1.75798
      249921.     -1.44832      1.65607
      249939.  -0.00980000      1.72592
      249958.     0.177920      1.87303
      249976.    -0.396690      1.74891
      249995.     -3.76980      1.72777
      250014.    -0.758640      2.34417
      250032.     -1.81324      1.88428
      250049.     -1.53086      1.99948
      250067.     -4.80251      2.54372
      250085.     -6.20946      1.85314
      250103.     -4.41407      1.79558
      250122.     -4.41440      1.74127
      250140.    -0.642360      1.92411
      250158.      1.68533      1.81378
      250176.      2.13416      1.85121
      250194.     0.627250      1.81763
      250211.      1.16222      1.82448
      250230.      8.42874      3.67284
      250249.      1.53825      1.84553
      250266.    -0.358410      1.81619
      250286.      2.19703      1.53915
      250304.      2.91250      1.91605
      250323.    -0.348530      1.78811
      250342.     -1.89860      1.86741
      250360.    -0.104190      1.81201
      250377.      1.51708      2.39275
      250395.      2.85016      1.99647
      250413.     -6.38343      2.16562
      250432.     -1.83396      1.78608
      250451.    -0.254940      2.09449
      250468.      2.40219      2.47082
      250487.     -6.25568      2.29179
      250505.     -3.95154      1.91400
      250525.     -2.42803      1.86320
      250543.      2.68988      2.13797
      250560.      2.26717      2.14660
      250580.     -1.49600      2.03123
      250598.     -3.17735      2.27610
      250616.     -1.08504      1.96054
      250637.     -2.05492      2.00229
      250655.    -0.170370      2.25085
      250674.      3.65999      2.37959
      250692.     -2.92464      1.93475
      250710.      1.51830      1.94471
      250728.      1.00532      2.03451
      250747.     -2.23495      2.08793
      250765.    -0.251070      1.84267
      250784.     -2.83964      2.29789
      250803.     -1.05578      2.76127
      250821.      4.40749      3.12872
      250839.     -4.24731      3.01727
      250858.     0.130240      1.96356
      250876.      1.56875      1.86142
      250912.     -1.20436      2.65081
      250948.    -0.893490      2.11962
      250967.     0.479280      1.55486
      250984.    -0.449660      1.99798
      251003.     0.309200      1.53607
      251022.      2.44247      2.86307
      251059.     -3.74538      3.22357
      251078.     -2.78287      2.66932
      251096.      2.99901      1.66600
      251114.      3.22235      2.15822
      251133.     -1.31422      3.20035
      251279.     -2.94491      1.92905
      251300.    -0.256180      1.44572
      251342.     -1.68544      1.41171
      251359.      1.60104      1.73737
      251378.    -0.867850      1.66708
      251396.     -1.55856      1.47671
      251414.      2.55278      2.03797
      251432.     -3.85809      1.78848
      251450.     0.547440      1.86203
      251468.     -1.82249      1.64608
      251487.    -0.318270      1.56989
      251506.      1.67675      1.70570
      251524.      1.75516      1.89514
      251543.    -0.313900      1.55155
      251561.    -0.253230      1.80803
      251580.      1.18461      1.55423
      251598.    -0.696500      1.62979
      251616.     -1.98711      2.27579
      251635.      9.10278      8.50784
      251653.     -2.34110      1.82665
      251671.     -1.48228      1.91238
      251692.     -3.16314      1.78418
      251710.     -3.68762      1.78438
      251728.     -1.47890      1.66171
      251748.     -2.19646      1.80806
      251766.     -1.36563      1.87171
      251786.     -3.39940      1.94280
      251805.     -2.61304      2.01032
      251823.     -3.05945      2.06829
      251841.     0.551660      1.95316
      251860.     -2.73246      1.73096
      251878.     -2.56663      2.01289
      251897.     -2.51327      2.09772
      251916.     0.369630      1.67017
      251933.     -1.41190      1.78477
      251952.    -0.749450      1.73945
      251971.     -2.27322      1.76426
      251991.   -0.0507900      1.95192
      252009.    -0.628290      1.85944
      252028.     -1.41861      1.92915
      252046.    -0.641020      2.03828
      252065.    -0.499090      1.83719
      252085.     -6.52228      2.05746
      252104.    -0.125950      1.75757
      252124.     -5.34067      1.96683
      252142.     0.145630      2.00915
      252162.     -1.63484      1.71373
      252179.     -1.02082      1.98209
      252197.     -4.24483      2.16189
      252216.     0.408430      1.77994
      252235.    -0.427880      2.04317
      252254.     -3.78315      1.68101
      252299.     -5.11890      1.94806
      252314.     -1.30499      1.59064
      252332.    -0.918850      2.26347
      252351.     0.185190      1.77325
      252370.     -1.86978      1.78900
      252389.     -1.40330      1.92691
      252407.    -0.393450      1.73665
      252426.    -0.419020      1.83137
      252444.      1.84024      1.66929
      252462.   -0.0826000      1.90890
      252480.      2.12303      2.30290
      252497.    -0.793300      1.89898
      252516.     -2.47371      1.67787
      252535.    -0.355680      1.89464
      252552.     0.231270      1.78342
      252571.     -1.92049      1.78759
      252590.     -2.49313      1.93988
      252607.     0.609980      2.10462
      252626.     -3.14716      1.78956
      252646.     0.437180      2.01332
      252667.     -1.31521      1.96954
      252689.    -0.907090      1.82212
      252709.     -1.80086      1.81838
      252733.      5.50243      2.28187
      252753.     0.161820      1.78344
      252776.    -0.929640      1.85321
      252799.     0.362520      1.76285
      252823.      5.40434      2.24981
      252841.     -2.64553      2.05845
      252860.      2.73159      1.77224
      252881.      1.58389      1.80975
      253029.     0.139990      1.92431
      253044.      3.13680      1.97436
      253076.    -0.623290      1.95484
      253105.     -1.13592      1.75305
      253134.     -1.45444      1.80643
      253164.     -2.69281      1.70568
      253201.     -4.58645      1.93122
      253230.      1.57808      2.24203
      253253.    -0.764510      1.86207
      253275.     -2.12099      1.72560
      253299.     0.109740      1.99263
      253330.    0.0120100      2.26028
      253355.      3.16189      2.19318
      253382.     -2.98739      2.35973
      253847.      3.80003      2.24385
      253864.    -0.466430      2.10103
      253884.     0.902480      1.91243
      253931.     -1.12032      2.32896
      253950.      3.89751      1.98579
      253972.      1.25217      1.79761
      253995.     -2.57994      2.04828
      254013.    -0.730550      2.04138
      254031.     0.432780      1.84183
      254051.     -3.35600      1.78329
      254069.     0.962700      1.79125
      254090.     -1.57089      1.77453
      254109.    -0.648390      1.88852
      254126.     0.162970      1.64207
      254144.     0.359660      1.83625
      254163.      1.76082      2.02766
      254180.    -0.229730      1.72676
      254199.      5.03886      2.30704
      254220.      3.51272      1.72604
      254242.     -1.69878      1.87260
      254264.     -1.10842      1.84441
      254285.      1.87219      1.80029
      254306.    0.0616800      1.83612
      254330.      1.24132      1.70625
      254345.      1.17285      2.55917
      254364.      1.43086      1.84620
      254383.      3.19959      1.80750
      254404.      1.62986      1.92208
      254424.      3.25724      1.91506
      254444.    -0.263720      1.88556
      254463.      1.06479      1.71371
      254482.     -1.27908      2.74270
      254503.     -3.82492      2.78952
      254524.     0.748230      1.98578
      254565.      2.16572      1.49879
      254585.     0.857530      1.46439
      254607.      1.59584      1.83685
      254629.      4.63414      2.89038
      254650.     -1.50686      2.17423
      254671.     -1.25492      2.46769
      254691.    -0.554510      2.05110
      254713.      3.99810      2.43677
      254731.      3.34724      1.70773
      254753.      2.83389      2.06073
      254776.      2.87276      2.58569
      254796.    -0.224460      2.47001
      254816.     -3.14130      2.91381
      254837.     -6.61263      3.38946
      254859.      3.81101      2.52900
      254879.     -2.67514      1.99651
      254900.     0.424700      3.00268
      254948.     0.920440      2.60761
      255070.    0.0918200      3.29249
      255096.      3.33403      1.43636
      255121.      2.72244      1.75596
      255147.      8.20495      2.41261
      255172.      4.29967      1.83735
      255198.      3.54496      2.20422
      255223.      5.30342      1.83682
      255248.      4.01914      1.83645
      255273.      2.33344      1.55326
      255299.      1.11797      1.41628
      255324.      2.63690      2.03462
      255349.    0.0335300      2.88694
      255374.     -1.49868      1.88760
      255400.     0.505350      1.52408
      255425.    -0.457310      1.87648
      255451.     0.510480      1.75572
      255476.      2.23803      1.73169
      255501.     0.696460      2.07011
      255524.      1.56169      1.62232
      255548.   -0.0437000      2.05162
      255571.      1.89628      1.57619
      255594.      5.75629      1.90877
      255618.      4.33717      1.95979
      255641.      3.43798      2.19418
      255664.     0.429980      1.88679
      255688.      3.80482      2.44036
      255711.     -3.73148      2.51905
      255734.      5.94084      3.14019
      255758.     -2.45472      2.37085
      255783.     0.593630      2.47755
      255808.     -3.29418      1.97516
      255834.      1.70698      2.04683
      255859.      3.61497      2.37295
      255884.     0.696230      2.10310
      255910.      1.10919      3.14345
      255935.      1.00686      3.19370
      255961.     -2.87697      3.07566
      256454.      5.65276      2.34754
      256844.      5.39617      2.60130
      256925.     -1.70298      2.55210
      257292.     0.943380      3.08689
      257336.    -0.179290      2.46553
      257638.      1.81601      2.83287
      345445.     -3.01788      1.70549
      345464.      2.87747      1.79863
      345485.     -2.57540      1.96445
      345506.   -0.0176600      1.72640
      345527.    -0.918590      1.75037
      345545.     -1.37222      1.72371
      345564.    -0.177880      1.57514
      345583.     0.619500      1.69076
      345601.     -1.04680      1.76428
      345620.     -1.86676      1.60683
      345638.     -3.45385      1.67813
      345657.     -2.60696      1.69329
      345675.     0.973350      1.50377
      345693.     -1.50449      1.70694
      345711.     -6.10741      1.97611
      345731.     -1.04864      1.72363
      345752.    -0.143080      1.70392
      345771.    0.0805300      1.80906
      345788.     0.364820      1.87272
      345806.     -1.34816      1.69166
      345824.      1.19629      1.64982
      345843.     0.339150      1.82746
      345861.     0.946700      1.66657
      345881.    -0.468840      1.73333
      345899.     -3.11441      1.76874
      345917.     0.434320      1.62984
      345935.     -3.26509      1.73516
      345952.      1.57961      1.67582
      345970.    -0.266630      1.77903
      345989.     -1.64907      1.58174
