DATA:  SoHO/GOLF (Solar velocity)
----------------------------------
      Time(sec)    Vel(m/s)
----------------------------------
      0.00000      3.07665
      80.0000      3.10344
      160.000     0.258703
      240.000     0.119228
      320.000      3.41300
      400.000      1.66080
      480.000     0.523782
      560.000      1.61314
      640.000      2.50130
      720.000      2.54806
      800.000     0.834512
      880.000     0.757792
      960.000      2.28937
      1040.00      1.60772
      1120.00     0.244373
      1200.00     0.686988
      1280.00      2.01050
      1360.00    -0.439080
      1440.00     0.458445
      1520.00      2.56807
      1600.00      1.99170
      1680.00     0.222091
      1760.00      1.19737
      1840.00    0.0621726
      1920.00      2.50165
      2000.00      2.81753
      2080.00    -0.951975
      2160.00     0.835254
      2240.00      1.99091
      2320.00      1.91308
      2400.00    -0.560124
      2480.00      2.80293
      2560.00      2.20187
      2640.00      1.91759
      2720.00      1.53225
      2800.00      1.04119
      2880.00      2.51981
      2960.00      1.64212
      3040.00     0.696499
      3120.00      1.48904
      3200.00     0.792544
      3280.00      1.47070
      3360.00      3.23518
      3440.00    -0.494730
      3520.00     0.290086
      3600.00      2.83282
      3680.00     0.943595
      3760.00     0.304477
      3840.00      1.18962
      3920.00      1.11672
      4000.00      1.03042
      4080.00     0.427536
      4160.00      1.78054
      4240.00      1.90057
      4320.00     -1.28667
      4400.00   -0.0292916
      4480.00      1.90124
      4560.00      1.03887
      4640.00     0.972232
      4720.00      2.25062
      4800.00      1.75879
      4880.00     0.410467
      4960.00      1.92983
      5040.00     0.771050
      5120.00     0.112624
      5200.00     0.235102
      5280.00     0.957740
      5360.00      1.88555
      5440.00    -0.254993
      5520.00    -0.161207
      5600.00      1.62354
      5680.00     0.531274
      5760.00    -0.109640
      5840.00     0.343905
      5920.00      1.24492
      6000.00      1.98264
      6080.00      1.68225
      6160.00     0.450882
      6240.00    -0.731362
      6320.00      1.18472
      6400.00      3.98180
      6480.00      1.01083
      6560.00   -0.0508324
      6640.00     0.873760
      6720.00      2.14266
      6800.00      2.59846
      6880.00    -0.415404
      6960.00     0.694910
      7040.00      3.14433
      7120.00     0.963448
      7200.00    0.0673890
      7280.00      1.54747
      7360.00      1.71462
      7440.00     0.941434
      7520.00      1.06917
      7600.00      1.75359
      7680.00    -0.654465
      7760.00     -1.40910
      7840.00      2.36772
      7920.00      1.01996
      8000.00     -1.13537
      8080.00     0.701874
      8160.00      2.56604
      8240.00    -0.112059
      8320.00   -0.0128621
      8400.00      1.64298
      8480.00      1.74061
      8560.00      2.54812
      8640.00     0.614485
      8720.00      1.94593
      8800.00      2.84301
      8880.00      1.30648
      8960.00      1.45305
      9040.00      1.45543
      9120.00      2.03561
      9200.00     0.758475
      9280.00      1.06774
      9360.00      4.21117
      9440.00      2.22684
      9520.00    -0.283030
      9600.00    -0.190560
      9680.00      3.94499
      9760.00      2.83074
      9840.00   -0.0222846
      9920.00    -0.874579
      10000.0      1.77897
      10080.0      2.88933
      10160.0     0.705278
      10240.0    -0.802567
      10320.0      1.54520
      10400.0      1.62337
      10480.0      1.16096
      10560.0    -0.311008
      10640.0     0.131431
      10720.0      2.05220
      10800.0      1.21078
      10880.0    -0.378226
      10960.0     0.180070
      11040.0     0.658496
      11120.0    -0.431458
      11200.0      1.87436
      11280.0    -0.731770
      11360.0    -0.973750
      11440.0      2.20859
      11520.0      1.57239
      11600.0      1.37518
      11680.0     0.207754
      11760.0     0.178153
      11840.0     0.915099
      11920.0     0.720451
      12000.0     -1.21018
      12080.0      1.64065
      12160.0      1.96761
      12240.0     -2.02756
      12320.0     0.209124
      12400.0      3.26407
      12480.0     0.119030
      12560.0     0.113293
      12640.0      2.38864
      12720.0      1.13597
      12800.0      1.79809
      12880.0     0.809246
      12960.0     0.352099
      13040.0     0.652132
      13120.0      1.39550
      13200.0      1.21271
      13280.0     -1.31533
      13360.0      1.41796
      13440.0      1.81560
      13520.0     0.834729
      13600.0      1.66841
      13680.0      2.12553
      13760.0      1.67248
      13840.0      2.28000
      13920.0      1.61621
      14000.0      2.00818
      14080.0      1.44745
      14160.0      1.58770
      14240.0      2.43385
      14320.0      1.54077
      14400.0      1.35174
      14480.0      2.31350
      14560.0     0.885972
      14640.0      2.39670
      14720.0     0.484190
      14800.0      1.83115
      14880.0      3.04329
      14960.0      1.24727
      15040.0     0.347546
      15120.0     0.208546
      15200.0      3.19211
      15280.0      1.64647
      15360.0     0.128145
      15440.0     0.801608
      15520.0      3.56434
      15600.0      1.60658
      15680.0      1.01128
      15760.0      1.27759
      15840.0      3.31895
      15920.0      2.50974
      16000.0     0.872632
      16080.0      2.14437
      16160.0     0.549993
      16240.0      1.29644
      16320.0      3.66304
      16400.0      1.81270
      16480.0     0.375462
      16560.0      2.45870
      16640.0      1.04915
      16720.0      2.01134
      16800.0      3.64466
      16880.0      1.37588
      16960.0    -0.332170
      17040.0      2.25865
      17120.0      3.97965
      17200.0      1.45561
      17280.0    -0.821340
      17360.0      3.21178
      17440.0      1.45406
      17520.0     0.360159
      17600.0      1.96968
      17680.0      1.90589
      17760.0      1.20356
      17840.0     0.718122
      17920.0      3.42412
      18000.0      2.14678
      18080.0     0.501472
      18160.0      1.58851
      18240.0      1.57509
      18320.0      2.00401
      18400.0     0.819226
      18480.0      1.29967
      18560.0      2.14893
      18640.0      1.67416
      18720.0      2.73639
      18800.0      1.23226
      18880.0     0.239394
      18960.0      2.92450
      19040.0      2.47590
      19120.0     0.639472
      19200.0   -0.0497728
      19280.0      3.21523
      19360.0      1.66997
      19440.0     0.268427
      19520.0     0.790777
      19600.0      2.63618
      19680.0      3.17682
      19760.0     0.853539
      19840.0      1.37667
      19920.0      3.15403
      20000.0      1.28123
      20080.0      1.55122
      20160.0     0.574330
      20240.0      2.21911
      20320.0      1.87927
      20400.0    -0.158020
      20480.0      1.15118
      20560.0      2.76500
      20640.0     0.105855
      20720.0     0.175741
      20800.0     0.562709
      20880.0      3.34965
      20960.0      2.14329
      21040.0    -0.105854
      21120.0      1.40448
      21200.0      2.13384
      21280.0      1.63451
      21360.0     0.527334
      21440.0   -0.0464907
      21520.0     0.295364
      21600.0      1.24479
      21680.0     0.505830
      21760.0    -0.920580
      21840.0      1.14714
      21920.0      1.59388
      22000.0     0.719144
      22080.0    0.0854624
      22160.0      1.57261
      22240.0      1.59768
      22320.0     0.709786
      22400.0      3.03574
      22480.0      1.84535
      22560.0     -1.19072
      22640.0      2.05251
      22720.0      2.38147
      22800.0    -0.391365
      22880.0     0.443698
      22960.0      2.22650
      23040.0      1.86638
      23120.0     0.575308
      23200.0      1.26450
      23280.0      1.96068
      23360.0     0.849852
      23440.0     0.522267
      23520.0      1.81256
      23600.0      2.23947
      23680.0     0.749779
      23760.0     0.113536
      23840.0      3.27214
      23920.0      2.82740
      24000.0     0.195696
      24080.0    0.0902918
      24160.0      3.49258
      24240.0      3.89267
      24320.0      1.51589
      24400.0    -0.299411
      24480.0      1.82710
      24560.0      3.54457
      24640.0      2.40330
      24720.0    -0.591931
      24800.0     0.679038
      24880.0      3.48982
      24960.0      1.38598
      25040.0     0.946717
      25120.0     0.972627
      25200.0      1.45938
      25280.0      3.86812
      25360.0      1.97503
      25440.0     0.177797
      25520.0      2.86960
      25600.0      4.00257
      25680.0      2.05436
      25760.0     0.522414
      25840.0      1.64295
      25920.0      4.44831
      26000.0      3.10478
      26080.0     0.976316
      26160.0     0.580571
      26240.0      2.73977
      26320.0      2.68358
      26400.0      1.77338
      26480.0      1.05929
      26560.0     0.475990
      26640.0      3.15907
      26720.0      2.14726
      26800.0    -0.989813
      26880.0      2.10536
      26960.0      4.69386
      27040.0      1.20115
      27120.0    -0.287513
      27200.0      3.38503
      27280.0      2.10364
      27360.0    -0.751720
      27440.0      1.72903
      27520.0      1.66012
      27600.0      1.99597
      27680.0      2.28718
      27760.0    0.0921223
      27840.0     0.516770
      27920.0      1.91579
      28000.0      2.53260
      28080.0     0.414113
      28160.0      1.41351
      28240.0     0.652913
      28320.0      1.30193
      28400.0      1.91698
      28480.0    0.0627832
      28560.0      2.26381
      28640.0     0.636321
      28720.0     0.235149
      28800.0     0.434606
      28880.0      1.33712
      28960.0      1.48621
      29040.0      3.90477
      29120.0      1.42314
      29200.0      2.21787
      29280.0     0.544175
      29360.0      2.09288
      29440.0      1.62714
      29520.0     0.185193
      29600.0      1.28842
      29680.0      3.30403
      29760.0      2.21954
      29840.0    -0.197975
      29920.0     0.673050
      30000.0      2.00190
      30080.0      2.48184
      30160.0      1.78367
      30240.0     0.754149
      30320.0     0.100509
      30400.0      2.79400
      30480.0     0.804078
      30560.0   -0.0408412
      30640.0      2.21408
      30720.0      2.15845
      30800.0     0.532005
      30880.0      1.82153
      30960.0    -0.486699
      31040.0      1.89190
      31120.0      2.45287
      31200.0      1.44447
      31280.0      1.89159
      31360.0      1.72373
      31440.0      1.45206
      31520.0      1.14411
      31600.0      3.04152
      31680.0      3.15054
      31760.0     -1.11747
      31840.0      1.29150
      31920.0      2.90577
      32000.0      2.54780
      32080.0     0.555352
      32160.0      1.62376
      32240.0      3.53506
      32320.0     0.864911
      32400.0      2.17619
      32480.0      3.76785
      32560.0      2.07799
      32640.0      1.02569
      32720.0      1.21671
      32800.0      2.39398
      32880.0      1.99401
      32960.0     0.138829
      33040.0      1.05851
      33120.0      3.29616
      33200.0      2.05160
      33280.0     0.849166
      33360.0      1.49776
      33440.0      2.25109
      33520.0      3.97754
      33600.0      1.91973
      33680.0    -0.637258
      33760.0      2.00729
      33840.0      3.85276
      33920.0      1.12856
      34000.0    -0.579745
      34080.0      1.70522
      34160.0      3.34755
      34240.0      1.90239
      34320.0      2.13535
      34400.0     0.115533
      34480.0      2.18404
      34560.0      2.58653
      34640.0      2.29333
      34720.0     0.937238
      34800.0     0.589113
      34880.0      1.87856
      34960.0      2.03977
      35040.0     0.990971
      35120.0      1.75031
      35200.0      1.46043
      35280.0      1.42170
      35360.0      1.16641
      35440.0      2.07410
      35520.0      2.09444
      35600.0     0.633045
      35680.0      2.61433
      35760.0      3.71152
      35840.0     0.104470
      35920.0      1.56597
      36000.0     0.900105
      36080.0      2.26323
      36160.0      2.33283
      36240.0     0.406151
      36320.0     0.983507
      36400.0      2.19851
      36480.0      3.09422
      36560.0      1.35073
      36640.0    -0.198828
      36720.0      2.38136
      36800.0      2.94055
      36880.0      2.13140
      36960.0      1.95713
      37040.0      1.11467
      37120.0      2.80387
      37200.0      3.17069
      37280.0      1.52291
      37360.0      1.70739
      37440.0      1.94687
      37520.0      2.36038
      37600.0      2.71761
      37680.0     0.982960
      37760.0      2.86897
      37840.0      3.81036
      37920.0     0.732219
      38000.0      1.72089
      38080.0      2.80338
      38160.0      2.34011
      38240.0     0.596800
      38320.0      1.15247
      38400.0      3.03417
      38480.0     0.858272
      38560.0     0.268139
      38640.0      2.88368
      38720.0      4.49593
      38800.0     0.612391
      38880.0     0.960561
      38960.0      2.14973
      39040.0      3.11541
      39120.0      2.98712
      39200.0     0.448002
      39280.0      1.58576
      39360.0      4.46480
      39440.0      1.71291
      39520.0     0.896266
      39600.0      1.83858
      39680.0      2.21704
      39760.0      2.57979
      39840.0      2.36110
      39920.0     0.353349
      40000.0   -0.0259960
      40080.0      3.14378
      40160.0      2.85830
      40240.0     0.138951
      40320.0     0.568026
      40400.0      2.05417
      40480.0      3.52487
      40560.0    -0.403619
      40640.0    -0.124380
      40720.0      3.39267
      40800.0      2.88433
      40880.0      1.55141
      40960.0     0.501252
      41040.0     0.694108
      41120.0      2.15522
      41200.0      4.55757
      41280.0      1.46171
      41360.0     0.462384
      41440.0      2.44399
      41520.0      3.70687
      41600.0      1.10137
      41680.0      1.14582
      41760.0      2.45715
      41840.0      2.96301
      41920.0      1.49167
      42000.0    -0.463380
      42080.0      2.41075
      42160.0      3.74013
      42240.0     0.826295
      42320.0      1.52750
      42400.0      2.93056
      42480.0      3.90101
      42560.0      1.09389
      42640.0     0.245703
      42720.0      2.95864
      42800.0      3.08956
      42880.0     0.878344
      42960.0     0.975782
      43040.0      1.55376
      43120.0      2.82832
      43200.0      1.08758
      43280.0     0.907181
      43360.0      2.49887
      43440.0     0.655484
      43520.0      1.66244
      43600.0      1.45796
      43680.0      1.37031
      43760.0     0.180431
      43840.0      2.54645
      43920.0      2.18632
      44000.0   -0.0186214
      44080.0      1.08917
      44160.0      2.30910
      44240.0     0.580156
      44320.0     0.444608
      44400.0      1.14345
      44480.0      2.00564
      44560.0      1.38716
      44640.0      1.71891
      44720.0      1.39681
      44800.0     0.859415
      44880.0      1.87361
      44960.0      2.75558
      45040.0      2.35793
      45120.0      1.36110
      45200.0      2.27867
      45280.0      2.64893
      45360.0      2.34075
      45440.0     0.868873
      45520.0      1.23775
      45600.0      3.11226
      45680.0      1.95785
      45760.0     0.213201
      45840.0     0.768059
      45920.0      4.16106
      46000.0      3.47760
      46080.0     0.259167
      46160.0      2.11823
      46240.0      1.96704
      46320.0    -0.215366
      46400.0      1.95980
      46480.0      2.74183
      46560.0      1.27830
      46640.0     0.402224
      46720.0      2.75509
      46800.0      2.80548
      46880.0      1.78203
      46960.0      1.47251
      47040.0      2.40881
      47120.0      2.12135
      47200.0      2.60682
      47280.0      1.15127
      47360.0      2.35365
      47440.0      2.24836
      47520.0     0.462605
      47600.0     0.688283
      47680.0      4.03517
      47760.0      3.56087
      47840.0    0.0577399
      47920.0     0.507338
      48000.0      3.53201
      48080.0      2.65338
      48160.0     0.277496
      48240.0     0.275945
      48320.0      2.46007
      48400.0      4.89686
      48480.0    -0.462177
      48560.0     0.365099
      48640.0      5.01705
      48720.0      3.31607
      48800.0     0.727746
      48880.0      2.45897
      48960.0      1.93667
      49040.0      2.46767
      49120.0      2.41987
      49200.0      1.45693
      49280.0      2.26332
      49360.0      1.38544
      49440.0      3.47993
      49520.0      3.28569
      49600.0     0.114947
      49680.0      1.30368
      49760.0      2.03853
      49840.0      2.01594
      49920.0     0.793533
      50000.0      1.89705
      50080.0      2.38756
      50160.0      1.25063
      50240.0      1.79841
      50320.0      3.15959
      50400.0      1.29538
      50480.0      1.71863
      50560.0      3.04341
      50640.0      2.48731
      50720.0      1.53603
      50800.0     0.702150
      50880.0      2.24015
      50960.0      3.12506
      51040.0      2.91333
      51120.0      1.81584
      51200.0     0.537067
      51280.0      2.92444
      51360.0      2.72376
      51440.0     0.498887
      51520.0      1.28906
      51600.0      1.05913
      51680.0      2.35264
      51760.0      2.11469
      51840.0    -0.567114
      51920.0     0.411640
      52000.0      2.16474
      52080.0      2.93520
      52160.0     0.987400
      52240.0     0.689015
      52320.0      3.97863
      52400.0      2.21615
      52480.0      1.04305
      52560.0      3.02826
      52640.0      3.66750
      52720.0      2.87025
      52800.0     0.811758
      52880.0      1.73837
      52960.0      4.90725
      53040.0      2.29771
      53120.0    -0.521715
      53200.0      2.86097
      53280.0      3.33864
      53360.0     -1.21299
      53440.0   -0.0994028
      53520.0      5.31915
      53600.0      2.89955
      53680.0     -1.09545
      53760.0     0.672054
      53840.0      4.64196
      53920.0      1.74445
      54000.0    -0.262200
      54080.0    0.0583924
      54160.0      2.50827
      54240.0      2.76075
      54320.0      1.36563
      54400.0     0.502310
      54480.0     0.932043
      54560.0      1.88569
      54640.0      2.62265
      54720.0     0.800056
      54800.0   0.00187215
      54880.0      1.82293
      54960.0      1.90619
      55040.0      1.30161
      55120.0     -1.05378
      55200.0      1.00689
      55280.0      3.96616
      55360.0     0.632846
      55440.0    -0.436797
      55520.0      1.63572
      55600.0      2.13822
      55680.0      1.35061
      55760.0      2.70627
      55840.0     0.994478
      55920.0    -0.218432
      56000.0      2.44222
      56080.0      2.56663
      56160.0    -0.204401
      56240.0     0.651934
      56320.0      2.79214
      56400.0   -0.0764796
      56480.0      1.08420
      56560.0     0.364962
      56640.0      1.84516
      56720.0      3.00568
      56800.0    -0.197791
      56880.0     0.143815
      56960.0      2.89522
      57040.0      1.54027
      57120.0     0.544609
      57200.0    -0.110368
      57280.0      4.18981
      57360.0      3.16922
      57440.0    -0.228634
      57520.0      1.05779
      57600.0      2.98142
      57680.0      3.36709
      57760.0     -1.01420
      57840.0     0.826205
      57920.0      2.81308
      58000.0      1.45224
      58080.0     0.970062
      58160.0      1.19141
      58240.0      1.65267
      58320.0      1.07042
      58400.0      3.20461
      58480.0     0.513610
      58560.0     0.590921
      58640.0      1.17429
      58720.0     0.800202
      58800.0      1.83578
      58880.0     -1.17908
      58960.0      1.53765
      59040.0      1.79602
      59120.0     0.672163
      59200.0      1.08050
      59280.0      1.16767
      59360.0      1.09291
      59440.0     0.280939
      59520.0      1.25294
      59600.0      1.38947
      59680.0      1.19146
      59760.0     0.650914
      59840.0      1.63170
      59920.0     0.731007
      60000.0      1.31129
      60080.0     0.501272
      60160.0      2.31854
      60240.0      2.02147
      60320.0    -0.969470
      60400.0      1.72139
      60480.0      3.34387
      60560.0   -0.0450122
      60640.0    -0.874688
      60720.0      1.42499
      60800.0      3.50576
      60880.0     0.536883
      60960.0     -1.64174
      61040.0      2.88226
      61120.0      2.16666
      61200.0    -0.364988
      61280.0      2.38723
      61360.0      2.34999
      61440.0    -0.644520
      61520.0    -0.169269
      61600.0      1.65653
      61680.0     0.879266
      61760.0     0.323437
      61840.0     0.457470
      61920.0     0.703990
      62000.0      2.91893
      62080.0      1.19127
      62160.0    -0.371891
      62240.0      1.83311
      62320.0      2.72766
      62400.0    -0.496587
      62480.0     0.471165
      62560.0      3.67755
      62640.0      1.19608
      62720.0    -0.633599
      62800.0     0.883834
      62880.0      3.74519
      62960.0     0.701491
      63040.0     -1.13396
      63120.0      1.43347
      63200.0      2.40301
      63280.0      1.57457
      63360.0     -2.01143
      63440.0      1.69877
      63520.0      1.73991
      63600.0      2.34394
      63680.0     0.547068
      63760.0      1.08675
      63840.0      1.45078
      63920.0      1.88135
      64000.0      1.91776
      64080.0      1.18580
      64160.0     0.629516
      64240.0     0.617098
      64320.0      1.92967
      64400.0      1.12687
      64480.0    -0.700416
      64560.0     0.715897
      64640.0      3.42309
      64720.0      1.15958
      64800.0     0.673970
      64880.0      2.53077
      64960.0      1.34634
      65040.0     0.340469
      65120.0      2.65212
      65200.0     0.660516
      65280.0     0.612880
      65360.0      1.10041
      65440.0      1.28138
      65520.0     0.488799
      65600.0      1.24775
      65680.0    -0.759439
      65760.0     0.414503
      65840.0      1.02876
      65920.0      1.09639
      66000.0      1.40908
      66080.0      1.46385
      66160.0      1.06707
      66240.0      2.35171
      66320.0      1.08822
      66400.0     -1.08520
      66480.0      1.55987
      66560.0      1.58924
      66640.0   -0.0727519
      66720.0    -0.406678
      66800.0     0.425320
      66880.0      2.28430
      66960.0     0.648327
      67040.0     -1.37096
      67120.0      1.05503
      67200.0      2.11296
      67280.0     0.701619
      67360.0    -0.455499
      67440.0    -0.709327
      67520.0      3.50064
      67600.0    -0.670779
      67680.0     -1.63193
      67760.0      1.74173
      67840.0      3.67429
      67920.0     0.458939
      68000.0    0.0738503
      68080.0      2.92843
      68160.0      1.99663
      68240.0     -1.99429
      68320.0      1.99342
      68400.0      4.73822
      68480.0    -0.189203
      68560.0    -0.850496
      68640.0      2.13953
